PI,%S,%FA,M,A/B,Na/Al,Si/Al, UCS
88.46,40,0,12,0.45,0.93,1.49,8.696
88.46,50,0,12,0.45,0.93,1.49,10.35
88.46,25,0,12,0.65,1.34,1.49,5.423
88.46,30,0,12,0.65,1.34,1.49,6.251
88.46,35,0,12,0.65,1.34,1.49,8.13
88.46,40,0,12,0.65,1.34,1.49,9.384
88.46,50,0,12,0.65,1.34,1.49,11.18
88.46,25,0,14.5,0.45,1.05,1.49,3.484
88.46,30,0,14.5,0.45,1.05,1.49,4.605
88.46,35,0,14.5,0.45,1.05,1.49,6.519
88.46,40,0,14.5,0.45,1.05,1.49,8.7
88.46,50,0,14.5,0.45,1.05,1.49,10.35
88.46,25,0,14.5,0.65,1.52,1.49,4.951
88.46,30,0,14.5,0.65,1.52,1.49,5.471
88.46,35,0,14.5,0.65,1.52,1.49,6.285
88.46,40,0,14.5,0.65,1.52,1.49,7.956
88.46,50,0,14.5,0.65,1.52,1.49,10.92
56.46,25,0,12,0.45,0.93,1.49,6.304
56.46,30,0,12,0.45,0.93,1.49,11.62
56.46,35,0,12,0.45,0.93,1.49,13.87
56.46,40,0,12,0.45,0.93,1.49,15.55
56.46,50,0,12,0.45,0.93,1.49,18.53
56.46,25,0,12,0.65,1.34,1.49,10.69
56.46,30,0,12,0.65,1.34,1.49,12.35
56.46,35,0,12,0.65,1.34,1.49,13.26
56.46,40,0,12,0.65,1.34,1.49,13.66
56.46,50,0,12,0.65,1.34,1.49,15.69
56.46,25,0,14.5,0.45,1.05,1.49,10.08
56.46,30,0,14.5,0.45,1.05,1.49,12.59
56.46,35,0,14.5,0.45,1.05,1.49,13.45
56.46,40,0,14.5,0.45,1.05,1.49,15.12
56.46,50,0,14.5,0.45,1.05,1.49,15.36
56.46,25,0,14.5,0.65,1.52,1.49,8.791
56.46,30,0,14.5,0.65,1.52,1.49,10.95
56.46,35,0,14.5,0.65,1.52,1.49,12.02
56.46,40,0,14.5,0.65,1.52,1.49,14.26
56.46,50,0,14.5,0.65,1.52,1.49,17.04
14.07,25,0,12,0.45,0.93,1.49,15.86
14.07,30,0,12,0.45,0.93,1.49,18.92
14.07,35,0,12,0.45,0.93,1.49,19.46
14.07,40,0,12,0.45,0.93,1.49,22.03
14.07,50,0,12,0.45,0.93,1.49,23.48
14.07,25,0,12,0.65,1.34,1.49,17.25
14.07,30,0,12,0.65,1.34,1.49,18.98
14.07,35,0,12,0.65,1.34,1.49,20.72
14.07,40,0,12,0.65,1.34,1.49,22.38
14.07,50,0,12,0.65,1.34,1.49,24.26
14.07,25,0,14.5,0.45,1.05,1.49,14
14.07,30,0,14.5,0.45,1.05,1.49,17.14
14.07,35,0,14.5,0.45,1.05,1.49,20.41
14.07,40,0,14.5,0.45,1.05,1.49,21.89
14.07,50,0,14.5,0.45,1.05,1.49,22.71
14.07,25,0,14.5,0.65,1.52,1.49,11.46
14.07,30,0,14.5,0.65,1.52,1.49,14.33
14.07,35,0,14.5,0.65,1.52,1.49,16.58
14.07,40,0,14.5,0.65,1.52,1.49,18.08
14.07,50,0,14.5,0.65,1.52,1.49,18.64
14.07,20,0,10,0.85,1.54,1.49,11.58
14.07,20,0,10,0.85,1.54,1.52,11.61
14.07,20,0,10,0.85,1.54,1.56,12.16
14.07,20,0,10,0.85,1.54,1.6,12
14.07,20,0,10,0.85,1.54,1.64,12.47
14.07,20,0,10,0.85,1.54,1.68,12.62
14.07,20,0,10,0.85,1.54,1.8,13.05
14.07,20,0,10,0.85,1.54,1.91,13.37
14.07,20,0,10,0.85,1.54,1.99,14.32
14.07,20,0,10,0.85,1.54,2.06,15.57
14.07,20,0,10,0.85,1.54,2.14,17.55
14.07,20,0,10,0.85,1.54,2.22,18.33
14.07,20,0,10,0.85,1.54,2.26,18.31
14.07,20,0,12,0.65,1.34,1.49,12.35
14.07,20,0,12,0.65,1.34,1.52,13.03
